  -0.20269,   0.15493,  -0.44012,  -0.30746,   0.40122,  -0.01431,   0.15123,   0.10236,   0.01122,  -0.19647
  -0.04748,  -0.16049,   0.25931,   0.11619,   0.34086,   0.34405,  -0.31500,  -0.09121,   0.24393,  -0.21805
  -0.22202,  -0.20885,   0.59424,   0.73579,  -0.76750,  -0.49513,  -0.23563,   0.30628,  -0.80492,  -0.02320
   0.12033,  -0.00750,   0.14131,  -0.07270,   0.15055,  -0.13340,   0.11946,   0.28549,  -0.06541,  -0.39149
  -0.28379,   0.12839,   0.71179,   0.39469,  -0.72824,  -0.64749,  -0.61083,   0.35202,   0.50882,  -0.35226
   0.02051,   0.19748,  -0.10852,  -0.00706,   0.08533,  -0.05960,   0.17998,   0.10499,  -0.11665,  -0.31839
   0.23287,  -0.26515,   0.10078,  -0.09910,   0.03124,  -0.29668,   0.36824,  -0.40484,   0.19264,  -0.05050
  -0.22276,   0.04698,   0.01490,  -0.15050,   0.05130,   0.03990,   0.14291,  -0.50980,  -0.08772,  -0.01039
  -0.13396,   0.03669,   0.22612,   0.09017,  -0.16922,  -0.05069,   0.08189,  -0.12705,   0.45696,  -0.40803
   0.27362,   0.11559,  -0.06077,  -0.29976,  -0.14677,   0.34311,   0.10928,  -0.11861,   0.12041,   0.16033
  -0.11621,   0.47623,   0.07451,   0.40428,  -0.63046,  -0.22170,  -0.09239,   0.32564,  -0.38743,  -0.29987
  -0.25908,  -0.08035,   0.24104,  -0.21305,  -0.26137,  -0.04033,  -0.03621,   0.17131,  -0.42654,  -0.30004
   0.06060,  -0.15791,  -0.04083,  -0.20408,  -0.18763,   0.29991,   0.25655,  -0.02438,   0.25874,  -0.32637
  -0.16973,  -0.20020,   0.38899,   0.02036,   0.25028,   0.02085,  -0.22059,   0.08497,   0.00133,   0.33159
   0.20031,   0.10953,  -0.23198,  -0.22098,  -0.28582,   0.51567,   0.28855,  -0.33644,   0.32466,   0.00807
   0.25993,   0.10773,  -0.13045,  -0.04770,   0.37075,  -0.26571,  -0.29365,   0.25469,   0.04591,   0.00585
   0.09226,   0.46567,   0.33642,  -0.25475,   0.45169,  -0.69871,  -0.96886,  -0.16370,   0.25212,   0.12631
   0.11498,   0.04981,   0.07420,   0.25619,  -0.24778,  -0.09394,  -0.41438,   0.09838,  -0.14310,   0.03247
  -0.02451,  -0.73217,   0.10572,  -0.28468,  -0.67854,   0.62115,   0.45928,   0.14122,   0.22508,  -0.16543
   0.14006,   0.09938,   0.08598,   0.24334,  -0.38418,  -0.67507,  -0.54724,  -0.15869,   0.20425,  -0.16702
  -0.14373,  -0.56073,   0.11830,  -0.12981,  -0.67462,   0.44369,  -0.32569,   0.21451,   0.05779,   0.25961
   0.01454,  -0.21284,  -0.17368,  -0.38421,  -0.17624,  -0.19953,  -0.77073,   0.68476,  -0.29866,   0.29542
  -0.01835,   0.42985,  -0.47990,  -0.48472,   0.20655,   0.08661,   0.23745,   0.11877,  -0.24784,   0.02945
  -0.24847,   0.13596,  -0.32776,  -0.02001,   0.73898,  -0.47034,   0.45393,  -0.49730,  -0.06131,  -0.26579
