  -0.24103,  -0.06111,  -0.09105,  -0.02428,  -0.60252,  -0.61660,  -0.07114,   0.16105,  -0.00207,  -0.48627,   0.27532,  -0.08881,  -0.08207,  -0.75023,  -0.14340,   0.06805
   0.13111,   0.01720,   0.15788,  -0.19028,  -0.51902,  -0.38943,  -0.16210,   0.47427,   0.13985,  -0.41168,   0.09481,   0.00803,   0.08166,  -0.29781,  -0.03720,  -0.04507
  -0.10714,  -0.10853,   0.14950,   0.05341,  -0.68254,  -0.59158,  -0.31407,   0.40803,   0.26916,  -0.36312,   0.11671,   0.12020,   0.00514,  -0.66180,  -0.04018,  -0.08917
  -0.10394,   0.07750,   0.16137,  -0.29383,  -0.32380,  -0.09411,   0.28484,   0.23271,   0.13316,  -0.15379,   0.25497,  -0.01279,   0.11760,  -0.02209,  -0.14763,  -0.18159
   0.11368,  -0.04310,   0.09114,   0.01896,  -0.43347,  -0.50612,   0.07211,   0.42773,   0.12313,  -0.24105,   0.25252,   0.11917,   0.10908,  -0.42485,  -0.09075,  -0.50802
   0.15626,  -0.00816,  -0.36618,   0.13711,   0.32782,   0.27843,   0.09102,  -0.05595,  -0.09450,  -0.32039,   0.44960,  -0.01099,   0.48800,  -0.00069,  -0.13128,   0.61321
  -0.29536,  -0.13173,  -0.31846,   0.07261,  -0.45678,  -0.52062,  -0.17868,   0.33796,  -0.06608,  -0.52630,   0.34227,   0.31586,  -0.24614,  -0.92296,  -0.22925,   0.63220
   0.25423,  -0.17088,   0.07887,  -0.22491,  -0.19794,   0.27818,   0.14888,   0.13530,  -0.00968,  -0.21272,  -0.16274,   0.59712,  -0.01864,   0.32582,  -0.03292,  -0.07951
   0.03087,   0.12622,   0.14209,   0.16722,  -0.47057,  -0.23930,  -0.55556,  -0.61585,  -0.10243,  -0.18415,   0.10627,   0.02460,   0.00870,  -0.59588,   0.02146,  -0.09330
  -0.13305,  -0.05834,   0.03482,   0.00167,  -0.25729,  -0.07449,  -0.37075,  -0.28566,   0.04052,  -0.28466,   0.00026,   0.00538,   0.03942,  -0.16991,  -0.01184,   0.07167
